indice,mot,traduction,conjugaison,prononciation,accent_eigu,accent_grave,accent_circumflex,exemple,divers
1,féliciter,celebrate,,,1,,,,
1,utiliser,use,,,,,,,
1,créer,create,,,1,,,,

